"";"age";"job";"marital";"education";"default";"balance";"housing";"loan";"day";"duration";"campaign";"pdays";"previous";"poutcome";"complete"
"2866";41;"blue-collar";"married";"secondary";"no";2823;"yes";"no";14;858;1;-1;0;"unknown";"yes"
"2871";48;"blue-collar";"married";"secondary";"no";1405;"yes";"no";14;629;2;-1;0;"unknown";"yes"
"2883";40;"admin.";"married";"secondary";"no";1535;"yes";"no";14;704;1;-1;0;"unknown";"yes"
"2898";48;"blue-collar";"married";"secondary";"no";1596;"yes";"no";14;760;1;-1;0;"unknown";"yes"
"2930";60;"retired";"married";"primary";"no";1542;"yes";"no";14;930;1;-1;0;"unknown";"yes"
"3005";51;"blue-collar";"married";"secondary";"no";7180;"yes";"no";14;927;1;-1;0;"unknown";"yes"
"3146";41;"blue-collar";"single";"secondary";"no";5291;"yes";"no";14;1423;3;-1;0;"unknown";"yes"
"3191";41;"blue-collar";"married";"secondary";"no";1384;"yes";"no";15;1162;4;-1;0;"unknown";"yes"
"3194";46;"admin.";"married";"secondary";"no";556;"yes";"yes";15;646;3;-1;0;"unknown";"yes"
"3295";59;"blue-collar";"married";"primary";"no";320;"yes";"no";15;695;1;-1;0;"unknown";"yes"
"3315";49;"admin.";"single";"secondary";"no";716;"yes";"no";15;1257;3;-1;0;"unknown";"yes"
"3325";49;"unknown";"married";"primary";"no";341;"yes";"yes";15;520;2;-1;0;"unknown";"yes"
"3332";50;"entrepreneur";"married";"primary";"no";461;"yes";"no";15;651;32;-1;0;"unknown";"yes"
"3455";44;"technician";"married";"tertiary";"no";4580;"yes";"no";15;911;2;-1;0;"unknown";"yes"
"3498";60;"services";"single";"primary";"no";313;"yes";"no";15;920;2;-1;0;"unknown";"yes"
"3501";29;"management";"married";"tertiary";"no";10576;"no";"no";15;1224;2;-1;0;"unknown";"yes"
"3520";41;"blue-collar";"married";"primary";"no";2453;"yes";"no";15;1052;1;-1;0;"unknown";"yes"
"3549";42;"technician";"single";"secondary";"no";1364;"yes";"no";15;1867;6;-1;0;"unknown";"yes"
"3558";46;"blue-collar";"married";"secondary";"no";668;"yes";"no";15;1263;2;-1;0;"unknown";"yes"
"3572";32;"services";"single";"secondary";"no";772;"yes";"no";15;697;3;-1;0;"unknown";"yes"
"3702";33;"management";"married";"tertiary";"no";273;"yes";"no";16;803;1;-1;0;"unknown";"yes"
"3703";42;"admin.";"single";"secondary";"no";153;"yes";"no";16;844;1;-1;0;"unknown";"yes"
"3709";31;"self-employed";"single";"tertiary";"no";144;"yes";"no";16;676;1;-1;0;"unknown";"yes"
"3713";40;"services";"married";"secondary";"no";446;"yes";"no";16;1252;1;-1;0;"unknown";"yes"
"3715";26;"blue-collar";"married";"secondary";"no";246;"yes";"no";16;1143;3;-1;0;"unknown";"yes"
"3731";45;"blue-collar";"married";"primary";"no";804;"yes";"no";16;528;1;-1;0;"unknown";"yes"
"3771";29;"admin.";"single";"secondary";"no";163;"yes";"yes";16;803;1;-1;0;"unknown";"yes"
"3805";27;"technician";"single";"secondary";"no";1742;"yes";"no";16;787;1;-1;0;"unknown";"yes"
"3830";40;"blue-collar";"married";"primary";"no";1758;"yes";"no";16;1230;3;-1;0;"unknown";"yes"
"3836";24;"technician";"single";"secondary";"no";409;"yes";"no";16;912;1;-1;0;"unknown";"yes"
"3841";24;"blue-collar";"married";"primary";"no";656;"yes";"no";16;894;1;-1;0;"unknown";"yes"
"3877";50;"admin.";"single";"secondary";"no";363;"yes";"no";16;1340;1;-1;0;"unknown";"yes"
"3882";27;"technician";"single";"tertiary";"no";3706;"yes";"no";16;897;1;-1;0;"unknown";"yes"
"3983";54;"management";"single";"tertiary";"no";4393;"yes";"no";16;1297;3;-1;0;"unknown";"yes"
"4000";30;"technician";"single";"secondary";"no";863;"yes";"no";16;1193;5;-1;0;"unknown";"yes"
"4036";34;"blue-collar";"married";"primary";"no";695;"yes";"yes";16;1064;4;-1;0;"unknown";"yes"
"4043";37;"management";"single";"secondary";"no";792;"yes";"no";16;1187;4;-1;0;"unknown";"yes"
"4091";41;"admin.";"single";"secondary";"no";1020;"yes";"no";19;882;1;-1;0;"unknown";"yes"
"4137";47;"blue-collar";"married";"secondary";"no";863;"yes";"no";19;943;2;-1;0;"unknown";"yes"
"4201";31;"blue-collar";"married";"secondary";"no";754;"yes";"no";19;1022;4;-1;0;"unknown";"yes"
"4272";43;"services";"single";"secondary";"no";1040;"yes";"no";19;552;3;-1;0;"unknown";"yes"
"4314";37;"management";"single";"tertiary";"no";122;"yes";"no";19;1622;2;-1;0;"unknown";"yes"
"4327";30;"technician";"single";"tertiary";"no";880;"yes";"yes";19;967;6;-1;0;"unknown";"yes"
"4330";41;"technician";"married";"secondary";"no";501;"yes";"no";19;579;5;-1;0;"unknown";"yes"
"4378";30;"technician";"single";"tertiary";"no";3291;"yes";"no";19;1218;3;-1;0;"unknown";"yes"
"4403";36;"blue-collar";"married";"secondary";"no";4438;"yes";"no";20;446;1;-1;0;"unknown";"yes"
"4428";29;"services";"single";"secondary";"no";271;"yes";"no";20;1882;2;-1;0;"unknown";"yes"
"4432";35;"blue-collar";"married";"primary";"no";102;"yes";"no";20;1334;1;-1;0;"unknown";"yes"
"4510";35;"services";"married";"secondary";"no";4170;"yes";"no";20;1777;1;-1;0;"unknown";"yes"
"4635";31;"admin.";"single";"secondary";"no";431;"yes";"yes";20;1045;1;-1;0;"unknown";"yes"
"4641";44;"technician";"single";"secondary";"no";982;"yes";"no";20;650;3;-1;0;"unknown";"yes"
"4676";36;"blue-collar";"married";"primary";"no";408;"yes";"yes";20;1063;2;-1;0;"unknown";"yes"
"4683";39;"technician";"single";"secondary";"no";1022;"yes";"no";20;1410;2;-1;0;"unknown";"yes"
"4754";41;"blue-collar";"married";"primary";"no";1250;"yes";"no";20;1392;2;-1;0;"unknown";"yes"
"4766";31;"blue-collar";"married";"secondary";"no";3311;"yes";"no";20;719;1;-1;0;"unknown";"yes"
"4814";31;"blue-collar";"single";"primary";"no";216;"yes";"no";21;565;1;-1;0;"unknown";"yes"
"4819";34;"blue-collar";"married";"secondary";"no";1207;"yes";"no";21;905;1;-1;0;"unknown";"yes"
"4836";32;"technician";"married";"secondary";"no";791;"yes";"no";21;783;2;-1;0;"unknown";"yes"
"4867";36;"management";"married";"tertiary";"no";849;"yes";"yes";21;958;2;-1;0;"unknown";"yes"
"4898";30;"blue-collar";"single";"secondary";"yes";239;"yes";"no";21;412;1;-1;0;"unknown";"yes"
"4917";37;"technician";"single";"secondary";"no";1211;"yes";"no";21;795;1;-1;0;"unknown";"yes"
"4942";54;"management";"single";"tertiary";"no";487;"yes";"no";21;828;4;-1;0;"unknown";"yes"
"4949";36;"blue-collar";"married";"primary";"no";599;"yes";"no";21;649;2;-1;0;"unknown";"yes"
"5004";31;"management";"single";"tertiary";"no";825;"yes";"no";21;506;2;-1;0;"unknown";"yes"
"5025";27;"technician";"married";"secondary";"no";2183;"yes";"yes";21;857;1;-1;0;"unknown";"yes"
"5035";34;"retired";"married";"primary";"no";4499;"no";"no";21;1681;1;-1;0;"unknown";"yes"
"5056";30;"technician";"single";"tertiary";"no";1289;"yes";"no";21;1697;2;-1;0;"unknown";"yes"
"5058";32;"technician";"single";"tertiary";"no";4665;"yes";"no";21;860;2;-1;0;"unknown";"yes"
"5145";37;"technician";"single";"secondary";"no";3326;"yes";"no";21;799;1;-1;0;"unknown";"yes"
"5163";38;"blue-collar";"married";"secondary";"no";622;"yes";"no";21;611;2;-1;0;"unknown";"yes"
"5175";32;"blue-collar";"married";"secondary";"no";783;"yes";"no";21;923;3;-1;0;"unknown";"yes"
"5237";35;"blue-collar";"married";"primary";"no";994;"yes";"no";23;1349;8;-1;0;"unknown";"yes"
"5252";35;"self-employed";"single";"tertiary";"no";1354;"yes";"no";23;736;2;-1;0;"unknown";"yes"
"5277";30;"blue-collar";"single";"secondary";"no";239;"yes";"no";23;785;1;-1;0;"unknown";"yes"
"5284";30;"blue-collar";"married";"secondary";"no";278;"yes";"yes";23;1073;1;-1;0;"unknown";"yes"
"5343";34;"blue-collar";"married";"secondary";"no";2495;"yes";"no";23;924;1;-1;0;"unknown";"yes"
"5484";45;"admin.";"married";"secondary";"no";149;"yes";"no";23;893;3;-1;0;"unknown";"yes"
"5500";33;"blue-collar";"married";"secondary";"no";1464;"yes";"no";23;588;3;-1;0;"unknown";"yes"
"5516";33;"blue-collar";"single";"secondary";"no";3546;"yes";"no";23;777;2;-1;0;"unknown";"yes"
"5543";44;"management";"single";"tertiary";"no";5773;"no";"no";23;597;6;-1;0;"unknown";"yes"
"5547";40;"blue-collar";"married";"primary";"no";278;"yes";"no";23;1015;3;-1;0;"unknown";"yes"
"5576";31;"blue-collar";"married";"secondary";"no";2910;"yes";"no";23;1392;2;-1;0;"unknown";"yes"
"5670";30;"technician";"married";"tertiary";"no";541;"yes";"no";26;414;2;-1;0;"unknown";"yes"
"5706";44;"technician";"single";"secondary";"no";1262;"yes";"no";26;788;11;-1;0;"unknown";"yes"
"5769";31;"admin.";"single";"secondary";"no";747;"yes";"no";26;543;2;-1;0;"unknown";"yes"
"5804";37;"blue-collar";"married";"secondary";"no";125;"no";"no";26;679;2;-1;0;"unknown";"yes"
"5857";32;"admin.";"single";"secondary";"no";620;"yes";"no";26;1234;3;-1;0;"unknown";"yes"
"5867";37;"blue-collar";"single";"secondary";"no";316;"yes";"no";26;642;2;-1;0;"unknown";"yes"
"5889";34;"management";"married";"tertiary";"no";2287;"yes";"no";26;895;4;-1;0;"unknown";"yes"
"5933";38;"admin.";"single";"secondary";"no";198;"yes";"no";26;431;2;-1;0;"unknown";"yes"
"5939";28;"admin.";"single";"secondary";"no";460;"yes";"no";26;741;6;-1;0;"unknown";"yes"
"5960";31;"management";"single";"tertiary";"no";1145;"yes";"no";26;1272;4;-1;0;"unknown";"yes"
"5974";30;"services";"married";"secondary";"no";129;"yes";"no";26;1446;7;-1;0;"unknown";"yes"
"5977";30;"admin.";"married";"secondary";"no";1265;"yes";"yes";26;414;2;-1;0;"unknown";"yes"
"6007";24;"blue-collar";"married";"secondary";"no";685;"yes";"no";26;896;3;-1;0;"unknown";"yes"
"6022";26;"services";"single";"secondary";"no";901;"yes";"no";26;764;2;-1;0;"unknown";"yes"
"6113";59;"retired";"single";"secondary";"no";351;"yes";"no";27;1063;5;-1;0;"unknown";"yes"
"6185";28;"management";"single";"tertiary";"no";939;"yes";"no";27;740;1;-1;0;"unknown";"yes"
"6271";37;"admin.";"married";"secondary";"no";274;"yes";"no";27;731;3;-1;0;"unknown";"yes"
"6313";24;"self-employed";"single";"tertiary";"no";2984;"yes";"no";27;935;1;-1;0;"unknown";"yes"
"6599";29;"management";"married";"tertiary";"no";314;"no";"no";28;938;2;-1;0;"unknown";"yes"
"6627";26;"management";"single";"tertiary";"no";6840;"yes";"no";28;1560;2;-1;0;"unknown";"yes"
"6632";26;"technician";"single";"secondary";"no";668;"yes";"no";28;576;3;-1;0;"unknown";"yes"
"6752";25;"self-employed";"single";"secondary";"no";1242;"yes";"no";28;615;2;-1;0;"unknown";"yes"
"6774";28;"management";"married";"secondary";"no";292;"yes";"no";28;507;1;-1;0;"unknown";"yes"
"6775";23;"services";"single";"secondary";"no";665;"yes";"no";28;1183;1;-1;0;"unknown";"yes"
"6801";27;"blue-collar";"single";"secondary";"no";294;"yes";"yes";28;694;2;-1;0;"unknown";"yes"
"6822";23;"technician";"single";"tertiary";"no";1129;"yes";"no";28;806;1;-1;0;"unknown";"yes"
"6875";34;"management";"single";"tertiary";"no";1058;"yes";"no";28;864;2;-1;0;"unknown";"yes"
"6919";28;"student";"single";"secondary";"no";949;"yes";"no";28;1730;1;-1;0;"unknown";"yes"
"7124";35;"admin.";"married";"secondary";"no";404;"yes";"no";29;539;1;-1;0;"unknown";"yes"
"7146";27;"blue-collar";"single";"secondary";"no";2486;"yes";"no";29;733;1;-1;0;"unknown";"yes"
"7165";56;"blue-collar";"married";"secondary";"no";249;"yes";"no";29;791;2;-1;0;"unknown";"yes"
"7192";45;"unemployed";"single";"secondary";"no";3354;"yes";"no";29;746;1;-1;0;"unknown";"yes"
"7282";56;"technician";"married";"secondary";"no";589;"yes";"no";29;535;2;-1;0;"unknown";"yes"
"7325";33;"blue-collar";"single";"primary";"no";127;"yes";"no";29;1059;2;-1;0;"unknown";"yes"
"7335";27;"management";"single";"tertiary";"no";12956;"yes";"no";29;789;3;-1;0;"unknown";"yes"
"7349";30;"admin.";"married";"secondary";"no";873;"yes";"no";29;792;3;-1;0;"unknown";"yes"
"7380";45;"blue-collar";"single";"primary";"no";594;"yes";"no";29;833;2;-1;0;"unknown";"yes"
"7461";38;"management";"single";"tertiary";"no";4692;"yes";"no";29;1363;2;-1;0;"unknown";"yes"
"7465";34;"blue-collar";"married";"primary";"no";1031;"yes";"no";29;751;3;-1;0;"unknown";"yes"
"7481";30;"blue-collar";"married";"secondary";"no";486;"yes";"no";29;1109;3;-1;0;"unknown";"yes"
"7482";44;"blue-collar";"single";"primary";"no";1593;"yes";"no";29;828;3;-1;0;"unknown";"yes"
"7544";36;"management";"single";"tertiary";"no";7606;"yes";"no";30;917;1;-1;0;"unknown";"yes"
"7556";40;"technician";"single";"secondary";"no";5637;"yes";"no";30;553;3;-1;0;"unknown";"yes"
"7591";38;"technician";"married";"secondary";"no";226;"yes";"no";30;762;3;-1;0;"unknown";"yes"
"7612";36;"blue-collar";"single";"secondary";"no";366;"yes";"yes";30;1133;2;-1;0;"unknown";"yes"
"7636";35;"management";"single";"tertiary";"no";565;"yes";"no";30;763;1;-1;0;"unknown";"yes"
"7667";40;"services";"married";"primary";"no";1082;"yes";"no";30;854;2;-1;0;"unknown";"yes"
"7669";42;"unemployed";"single";"secondary";"no";1713;"yes";"no";30;855;2;-1;0;"unknown";"yes"
"7675";46;"management";"single";"tertiary";"no";14481;"yes";"no";30;1269;1;-1;0;"unknown";"yes"
"7729";35;"technician";"single";"secondary";"no";5724;"yes";"no";30;691;10;-1;0;"unknown";"yes"
"7733";34;"technician";"single";"secondary";"no";1451;"yes";"no";30;1097;15;-1;0;"unknown";"yes"
"7740";29;"self-employed";"single";"tertiary";"no";121;"yes";"no";30;1500;2;-1;0;"unknown";"yes"
"7764";50;"unemployed";"married";"secondary";"no";3674;"yes";"no";30;886;3;-1;0;"unknown";"yes"
"7768";35;"blue-collar";"married";"secondary";"no";698;"yes";"yes";30;1343;3;-1;0;"unknown";"yes"
"7796";36;"technician";"single";"secondary";"no";4136;"yes";"no";30;812;3;-1;0;"unknown";"yes"
"7812";53;"blue-collar";"single";"primary";"no";2656;"yes";"no";30;1980;2;-1;0;"unknown";"yes"
"7822";32;"technician";"single";"secondary";"no";562;"yes";"no";30;722;3;-1;0;"unknown";"yes"
"7852";46;"management";"single";"tertiary";"no";2904;"yes";"no";30;984;2;-1;0;"unknown";"yes"
"7867";26;"management";"single";"tertiary";"no";1004;"yes";"no";30;228;2;-1;0;"unknown";"yes"
"7915";45;"technician";"single";"secondary";"no";410;"yes";"no";30;891;4;-1;0;"unknown";"yes"
"7954";27;"blue-collar";"married";"primary";"no";416;"yes";"no";30;1193;2;-1;0;"unknown";"yes"
"8015";39;"management";"married";"tertiary";"no";2763;"yes";"no";2;526;2;-1;0;"unknown";"yes"
"8018";36;"services";"married";"secondary";"no";2984;"yes";"no";2;394;1;-1;0;"unknown";"yes"
"8022";41;"blue-collar";"married";"primary";"no";143;"yes";"yes";2;659;2;-1;0;"unknown";"yes"
"8083";32;"technician";"married";"secondary";"no";696;"yes";"no";2;815;1;-1;0;"unknown";"yes"
"8085";35;"services";"married";"secondary";"no";152;"yes";"no";2;563;1;-1;0;"unknown";"yes"
"8161";35;"management";"married";"tertiary";"no";867;"yes";"no";2;230;3;-1;0;"unknown";"yes"
"8187";30;"blue-collar";"single";"secondary";"no";953;"yes";"no";2;747;2;-1;0;"unknown";"yes"
"8214";42;"blue-collar";"married";"secondary";"no";443;"yes";"no";2;671;5;-1;0;"unknown";"yes"
"8268";32;"blue-collar";"married";"primary";"no";415;"yes";"no";2;777;4;-1;0;"unknown";"yes"
"8341";40;"unemployed";"married";"secondary";"no";1960;"yes";"no";2;605;6;-1;0;"unknown";"yes"
"8345";29;"blue-collar";"single";"secondary";"no";260;"yes";"no";2;707;14;-1;0;"unknown";"yes"
"8384";32;"technician";"single";"secondary";"no";1279;"yes";"no";3;1173;3;-1;0;"unknown";"yes"
"8490";27;"management";"single";"secondary";"no";178;"yes";"no";3;732;2;-1;0;"unknown";"yes"
"8523";37;"services";"single";"secondary";"no";278;"yes";"no";3;1045;3;-1;0;"unknown";"yes"
"8560";23;"services";"single";"secondary";"no";425;"yes";"no";3;768;1;-1;0;"unknown";"yes"
"8565";25;"management";"married";"primary";"no";168;"yes";"no";3;801;1;-1;0;"unknown";"yes"
"8573";47;"blue-collar";"single";"primary";"no";126;"yes";"no";3;2456;2;-1;0;"unknown";"yes"
"8629";45;"services";"single";"primary";"no";1893;"yes";"no";3;1259;6;-1;0;"unknown";"yes"
"8707";32;"technician";"single";"tertiary";"no";6281;"yes";"no";3;1336;4;-1;0;"unknown";"yes"
"8719";45;"management";"single";"secondary";"no";644;"yes";"no";4;633;1;-1;0;"unknown";"yes"
"8745";30;"admin.";"single";"secondary";"no";377;"yes";"no";4;524;15;-1;0;"unknown";"yes"
"8761";38;"blue-collar";"married";"primary";"no";5839;"yes";"no";4;984;2;-1;0;"unknown";"yes"
"8788";23;"blue-collar";"single";"secondary";"no";492;"yes";"no";4;638;1;-1;0;"unknown";"yes"
"8833";30;"self-employed";"married";"tertiary";"no";543;"yes";"yes";4;1449;6;-1;0;"unknown";"yes"
"8835";36;"blue-collar";"married";"primary";"no";403;"yes";"no";4;920;1;-1;0;"unknown";"yes"
"8885";27;"blue-collar";"married";"secondary";"no";419;"yes";"no";4;1181;2;-1;0;"unknown";"yes"
"8890";35;"admin.";"single";"secondary";"no";437;"yes";"no";4;908;1;-1;0;"unknown";"yes"
"8977";50;"unemployed";"married";"primary";"no";705;"no";"no";5;504;1;-1;0;"unknown";"yes"
"9012";36;"blue-collar";"married";"secondary";"no";1772;"no";"no";5;208;1;-1;0;"unknown";"yes"
"9050";58;"entrepreneur";"married";"tertiary";"no";853;"no";"no";5;1149;2;-1;0;"unknown";"yes"
"9070";37;"management";"single";"tertiary";"no";240;"no";"no";5;1123;1;-1;0;"unknown";"yes"
"9088";46;"admin.";"single";"secondary";"no";849;"yes";"no";5;508;2;-1;0;"unknown";"yes"
"9105";43;"blue-collar";"single";"secondary";"no";318;"yes";"no";5;736;2;-1;0;"unknown";"yes"
"9108";27;"management";"single";"tertiary";"no";703;"yes";"no";5;590;3;-1;0;"unknown";"yes"
"9135";53;"housemaid";"married";"primary";"no";104;"no";"yes";5;701;1;-1;0;"unknown";"yes"
"9144";47;"blue-collar";"married";"secondary";"no";1996;"no";"no";5;761;2;-1;0;"unknown";"yes"
"9145";56;"housemaid";"single";"primary";"yes";1238;"no";"no";5;1558;1;-1;0;"unknown";"yes"
"9146";41;"housemaid";"married";"secondary";"no";879;"no";"no";5;1053;2;-1;0;"unknown";"yes"
"9149";29;"self-employed";"married";"secondary";"no";425;"yes";"no";5;562;15;-1;0;"unknown";"yes"
"9206";35;"self-employed";"married";"secondary";"no";188;"yes";"yes";5;1865;2;-1;0;"unknown";"yes"
"9210";38;"admin.";"single";"secondary";"no";3239;"no";"no";5;817;2;-1;0;"unknown";"yes"
"9238";50;"technician";"married";"secondary";"no";416;"yes";"no";5;494;5;-1;0;"unknown";"yes"
"9243";45;"blue-collar";"single";"primary";"no";844;"no";"no";5;1018;3;-1;0;"unknown";"yes"
"9266";35;"blue-collar";"married";"secondary";"no";860;"yes";"no";5;884;4;-1;0;"unknown";"yes"
"9320";35;"housemaid";"single";"secondary";"no";1015;"yes";"no";5;406;2;-1;0;"unknown";"yes"
"9341";39;"self-employed";"married";"tertiary";"no";1047;"no";"no";6;554;1;-1;0;"unknown";"yes"
"9381";26;"technician";"single";"secondary";"no";639;"yes";"no";6;709;5;-1;0;"unknown";"yes"
"9382";26;"admin.";"married";"secondary";"no";710;"yes";"yes";6;1276;2;-1;0;"unknown";"yes"
"9435";30;"admin.";"single";"secondary";"no";223;"yes";"no";6;862;11;-1;0;"unknown";"yes"
"9442";38;"management";"single";"tertiary";"no";619;"yes";"no";6;460;4;-1;0;"unknown";"yes"
"9454";54;"self-employed";"single";"primary";"no";351;"yes";"no";6;642;2;-1;0;"unknown";"yes"
"9477";41;"blue-collar";"married";"primary";"no";1461;"yes";"no";6;554;2;-1;0;"unknown";"yes"
"9493";37;"services";"single";"secondary";"no";319;"yes";"no";6;467;3;-1;0;"unknown";"yes"
"9500";53;"technician";"married";"secondary";"no";480;"no";"no";6;648;2;-1;0;"unknown";"yes"
"9516";29;"blue-collar";"single";"primary";"no";213;"yes";"no";6;2653;3;-1;0;"unknown";"yes"
"9582";47;"admin.";"single";"secondary";"no";295;"yes";"no";6;94;2;-1;0;"unknown";"yes"
"9648";28;"blue-collar";"married";"secondary";"no";2788;"yes";"no";6;369;2;-1;0;"unknown";"yes"
"9672";36;"self-employed";"married";"secondary";"no";1245;"yes";"no";6;1469;9;-1;0;"unknown";"yes"
"9800";50;"services";"married";"secondary";"no";1595;"no";"no";9;882;1;-1;0;"unknown";"yes"
"9826";43;"management";"single";"tertiary";"no";1046;"no";"no";9;901;1;-1;0;"unknown";"yes"
"9837";58;"self-employed";"single";"tertiary";"no";1382;"no";"no";9;700;1;-1;0;"unknown";"yes"
"9889";38;"technician";"married";"primary";"no";217;"yes";"no";9;491;6;-1;0;"unknown";"yes"
"9901";48;"blue-collar";"single";"primary";"no";183;"no";"no";9;940;1;-1;0;"unknown";"yes"
"9948";59;"management";"married";"secondary";"no";1321;"no";"no";9;3881;3;-1;0;"unknown";"yes"
"9959";38;"technician";"single";"tertiary";"no";1805;"no";"no";9;952;2;-1;0;"unknown";"yes"
"9994";36;"self-employed";"single";"tertiary";"no";4844;"no";"no";9;1137;3;-1;0;"unknown";"yes"
"10050";42;"entrepreneur";"married";"tertiary";"no";5345;"no";"no";11;878;3;-1;0;"unknown";"yes"
"10054";41;"admin.";"single";"secondary";"no";812;"no";"yes";11;583;4;-1;0;"unknown";"yes"
"10064";42;"admin.";"married";"secondary";"no";105;"no";"no";11;1159;4;-1;0;"unknown";"yes"
"10098";57;"housemaid";"married";"primary";"no";625;"no";"yes";11;867;1;-1;0;"unknown";"yes"
"10099";51;"retired";"married";"secondary";"no";1435;"no";"no";11;587;1;-1;0;"unknown";"yes"
"10155";56;"blue-collar";"married";"secondary";"no";1210;"no";"no";11;935;1;-1;0;"unknown";"yes"
"10218";36;"unemployed";"married";"secondary";"no";1766;"no";"no";11;595;2;-1;0;"unknown";"yes"
"10242";40;"admin.";"single";"tertiary";"no";1248;"no";"no";11;1290;2;-1;0;"unknown";"yes"
